,id,true,hb,err[%]
684,684,0.0000,0.0000,0.0000
685,685,356.7500,370.2725,3.7905
686,686,327.1667,342.9038,4.8101
687,687,325.9167,338.2815,3.7939
688,688,250.5333,258.3440,3.1176
689,689,250.2833,258.3440,3.2206
690,690,358.1667,359.9464,0.4969
691,691,0.0000,0.0000,0.0000
692,692,251.3333,260.2724,3.5567
693,693,319.4167,337.4018,5.6306
694,694,307.4500,314.2343,2.2066
695,695,335.9167,348.2596,3.6744
696,696,285.6167,276.4382,3.2136
697,697,262.5000,275.0099,4.7657
698,698,322.4333,334.3597,3.6989
699,699,307.0000,314.7583,2.5271
700,700,314.2667,323.4279,2.9151
701,701,248.3500,262.2262,5.5874
702,702,298.3333,304.8161,2.1730
703,703,0.0000,0.0000,0.0000
704,704,296.3333,272.3732,8.0855
705,705,323.1167,342.6019,6.0304
706,706,318.6667,335.8054,5.3783
707,707,349.2500,351.5260,0.6517
708,708,338.8333,347.4574,2.5452
709,709,268.2667,267.8353,0.1608
710,710,323.5000,344.4619,6.4797
711,711,0.0000,0.0000,0.0000
712,712,283.9000,306.1072,7.8222
713,713,261.9667,264.0763,0.8053
714,714,352.5833,358.8932,1.7896
715,715,296.6000,309.2018,4.2487
716,716,284.2000,306.6871,7.9124
717,717,336.8333,352.2713,4.5833
718,718,303.7167,320.9714,5.6812
719,719,315.6500,309.7892,1.8567
720,720,320.8333,335.2655,4.4983
721,721,287.0000,283.9869,1.0499
722,722,289.4667,277.9480,3.9793
723,723,302.4167,315.1304,4.2040
724,724,310.2000,318.8427,2.7862
725,725,314.9333,342.2173,8.6634
726,726,337.5833,353.4714,4.7064
727,727,280.8667,274.3244,2.3293
728,728,334.3667,350.7925,4.9125
729,729,299.4833,305.2774,1.9347
730,730,343.5833,356.8983,3.8753
731,731,0.0000,0.0000,0.0000
732,732,0.0000,0.0000,0.0000
733,733,311.5833,323.2409,3.7414
734,734,335.2667,355.5765,6.0578
735,735,266.6500,274.9774,3.1230
736,736,336.8333,344.1692,2.1779
737,737,259.6500,269.4086,3.7584
738,738,351.3667,364.7047,3.7960
739,739,311.1500,324.3387,4.2387
740,740,296.2667,309.4848,4.4616
741,741,278.6167,274.6649,1.4184
742,742,293.7833,307.7564,4.7562
743,743,236.7333,252.2030,6.5347
744,744,0.0000,0.0000,0.0000
745,745,290.5333,284.4700,2.0870
746,746,0.0000,0.0000,0.0000
747,747,363.1667,373.4761,2.8388
748,748,362.5000,374.6121,3.3413
749,749,318.4167,330.5547,3.8120
750,750,0.0000,0.0000,0.0000
751,751,308.2667,318.8707,3.4399
752,752,319.5333,345.7655,8.2095
753,753,330.0000,332.9917,0.9066
754,754,342.4167,364.5957,6.4772
755,755,0.0000,0.0000,0.0000
756,756,351.0000,356.2251,1.4886
757,757,270.9167,264.9496,2.2025
758,758,333.4167,344.7414,3.3966
759,759,293.4833,300.3261,2.3316
760,760,285.4833,277.1824,2.9077
761,761,265.6333,264.9496,0.2574
762,762,228.4167,237.5001,3.9767
763,763,284.2000,306.6871,7.9124
764,764,330.7667,378.6792,14.4853
765,765,332.9167,335.4612,0.7643
766,766,243.6000,252.8636,3.8028
767,767,323.2833,329.6765,1.9776
768,768,314.0000,334.1424,6.4148
769,769,308.5833,310.3325,0.5668
770,770,251.3833,263.8554,4.9614
771,771,330.5000,341.9734,3.4715
772,772,0.0000,0.0000,0.0000
773,773,0.0000,0.0000,0.0000
774,774,267.6167,274.9666,2.7464
775,775,248.8167,262.6163,5.5461
